Region,Site,Reference,Indicator,Latitude (N),Longitude (E),RSL (m),RSL +1s,RSL -1s,Age (CE),Age +2s,Age -2s
"Florida, USA",Nassau,Kemp et al. (2014),foramininifera and plants,30.587,-81.666,-0.73,0.07,0.07,470,71,71
"Florida, USA",Nassau,Kemp et al. (2014),foramininifera and plants,30.587,-81.666,-0.71,0.07,0.07,519,74,74
"Florida, USA",Nassau,Kemp et al. (2014),foramininifera and plants,30.587,-81.666,-0.69,0.07,0.07,567,65,65
"Florida, USA",Nassau,Kemp et al. (2014),foramininifera and plants,30.587,-81.666,-0.67,0.07,0.07,636,48,48
"Florida, USA",Nassau,Kemp et al. (2014),foramininifera and plants,30.587,-81.666,-0.65,0.07,0.07,707,67,67
"Florida, USA",Nassau,Kemp et al. (2014),foramininifera and plants,30.587,-81.666,-0.63,0.07,0.07,756,79,79
"Florida, USA",Nassau,Kemp et al. (2014),foramininifera and plants,30.587,-81.666,-0.61,0.07,0.07,803,82,82
"Florida, USA",Nassau,Kemp et al. (2014),foramininifera and plants,30.587,-81.666,-0.59,0.07,0.07,856,75,75
"Florida, USA",Nassau,Kemp et al. (2014),foramininifera and plants,30.587,-81.666,-0.57,0.07,0.07,922,58,58
"Florida, USA",Nassau,Kemp et al. (2014),foramininifera and plants,30.587,-81.666,-0.55,0.07,0.07,974,62,62
"Florida, USA",Nassau,Kemp et al. (2014),foramininifera and plants,30.587,-81.666,-0.53,0.07,0.07,1011,72,72
"Florida, USA",Nassau,Kemp et al. (2014),foramininifera and plants,30.587,-81.666,-0.51,0.07,0.07,1051,76,76
"Florida, USA",Nassau,Kemp et al. (2014),foramininifera and plants,30.587,-81.666,-0.49,0.07,0.07,1089,74,74
"Florida, USA",Nassau,Kemp et al. (2014),foramininifera and plants,30.587,-81.666,-0.48,0.07,0.07,1108,72,72
"Florida, USA",Nassau,Kemp et al. (2014),foramininifera and plants,30.587,-81.666,-0.47,0.07,0.07,1128,69,69
"Florida, USA",Nassau,Kemp et al. (2014),foramininifera and plants,30.587,-81.666,-0.45,0.07,0.07,1171,58,58
"Florida, USA",Nassau,Kemp et al. (2014),foramininifera and plants,30.587,-81.666,-0.44,0.07,0.07,1201,52,52
"Florida, USA",Nassau,Kemp et al. (2014),foramininifera and plants,30.587,-81.666,-0.43,0.07,0.07,1229,54,54
"Florida, USA",Nassau,Kemp et al. (2014),foramininifera and plants,30.587,-81.666,-0.41,0.07,0.07,1268,63,63
"Florida, USA",Nassau,Kemp et al. (2014),foramininifera and plants,30.587,-81.666,-0.39,0.07,0.07,1306,65,65
"Florida, USA",Nassau,Kemp et al. (2014),foramininifera and plants,30.587,-81.666,-0.37,0.07,0.07,1344,59,59
"Florida, USA",Nassau,Kemp et al. (2014),foramininifera and plants,30.587,-81.666,-0.35,0.07,0.07,1383,43,43
"Florida, USA",Nassau,Kemp et al. (2014),foramininifera and plants,30.587,-81.666,-0.33,0.07,0.07,1454,41,41
"Florida, USA",Nassau,Kemp et al. (2014),foramininifera and plants,30.587,-81.666,-0.31,0.07,0.07,1492,56,56
"Florida, USA",Nassau,Kemp et al. (2014),foramininifera and plants,30.587,-81.666,-0.29,0.07,0.07,1529,59,59
"Florida, USA",Nassau,Kemp et al. (2014),foramininifera and plants,30.587,-81.666,-0.27,0.07,0.07,1562,55,55
"Florida, USA",Nassau,Kemp et al. (2014),foramininifera and plants,30.587,-81.666,-0.26,0.07,0.07,1591,56,56
"Florida, USA",Nassau,Kemp et al. (2014),foramininifera and plants,30.587,-81.666,-0.25,0.07,0.07,1628,59,59
"Florida, USA",Nassau,Kemp et al. (2014),foramininifera and plants,30.587,-81.666,-0.23,0.07,0.07,1676,65,65
"Florida, USA",Nassau,Kemp et al. (2014),foramininifera and plants,30.587,-81.666,-0.17,0.07,0.07,1832,40,40
"Florida, USA",Nassau,Kemp et al. (2014),foramininifera and plants,30.587,-81.666,-0.15,0.07,0.07,1865,12,12
"Florida, USA",Nassau,Kemp et al. (2014),foramininifera and plants,30.587,-81.666,-0.13,0.07,0.07,1883,13,13
"Florida, USA",Nassau,Kemp et al. (2014),foramininifera and plants,30.587,-81.666,-0.11,0.07,0.07,1897,19,19
"Florida, USA",Nassau,Kemp et al. (2014),foramininifera and plants,30.587,-81.666,-0.09,0.07,0.07,1914,19,19
"Florida, USA",Nassau,Kemp et al. (2014),foramininifera and plants,30.587,-81.666,-0.07,0.07,0.07,1922,18,18
"Florida, USA",Nassau,Kemp et al. (2014),foramininifera and plants,30.587,-81.666,-0.05,0.07,0.07,1942,22,22
"Florida, USA",Nassau,Kemp et al. (2014),foramininifera and plants,30.587,-81.666,-0.03,0.07,0.07,1956,19,19
"Florida, USA",Nassau,Kemp et al. (2014),foramininifera and plants,30.587,-81.666,-0.01,0.07,0.07,1972,9,9
"Florida, USA",Nassau,Kemp et al. (2014),foramininifera and plants,30.587,-81.666,0.01,0.07,0.07,1981,9,9
"Florida, USA",Nassau,Kemp et al. (2014),foramininifera and plants,30.587,-81.666,0.03,0.07,0.07,1989,11,11
"Florida, USA",Nassau,Kemp et al. (2014),foramininifera and plants,30.587,-81.666,0.05,0.07,0.07,1999,8,8
Greenland,Aasiaat,Long et al. (2012),diatoms,68.7,-52.27,-0.93,0.14,0.14,1336,60,60
Greenland,Aasiaat,Long et al. (2012),diatoms,68.7,-52.27,-0.68,0.14,0.14,1347,57,57
Greenland,Aasiaat,Long et al. (2012),diatoms,68.7,-52.27,-0.88,0.14,0.14,1360,62,62
Greenland,Aasiaat,Long et al. (2012),diatoms,68.7,-52.27,-0.87,0.14,0.14,1419,28,28
Greenland,Aasiaat,Long et al. (2012),diatoms,68.7,-52.27,-0.67,0.13,0.13,1421,29,29
Greenland,Aasiaat,Long et al. (2012),diatoms,68.7,-52.27,-0.37,0.21,0.21,1425,30,30
Greenland,Aasiaat,Long et al. (2012),diatoms,68.7,-52.27,-0.57,0.14,0.14,1479,45,45
Greenland,Aasiaat,Long et al. (2012),diatoms,68.7,-52.27,-0.41,0.11,0.11,1555,88,88
Greenland,Aasiaat,Long et al. (2012),diatoms,68.7,-52.27,0,0.07,0.07,1556,88,88
Greenland,Aasiaat,Long et al. (2012),diatoms,68.7,-52.27,0,0.17,0.17,1570,74,74
Greenland,Aasiaat,Long et al. (2012),diatoms,68.7,-52.27,0.01,0.16,0.16,1573,107,107
Greenland,Aasiaat,Long et al. (2012),diatoms,68.7,-52.27,-0.17,0.21,0.21,1578,88,88
Greenland,Aasiaat,Long et al. (2012),diatoms,68.7,-52.27,-0.87,0.2,0.2,1580,89,89
Greenland,Aasiaat,Long et al. (2012),diatoms,68.7,-52.27,-0.25,0.07,0.07,1778,113,113
Greenland,Aasiaat,Long et al. (2012),diatoms,68.7,-52.27,-0.16,0.21,0.21,1778,113,113
Greenland,Aasiaat,Long et al. (2012),diatoms,68.7,-52.27,-0.16,0.11,0.11,1950,50,50
Greenland,Nanortalik,Long et al. (2012),diatoms,60.14,-45.24,-1.44,0.21,0.21,1466,56,56
Greenland,Nanortalik,Long et al. (2012),diatoms,60.14,-45.24,-1.28,0.21,0.21,1555,89,89
Greenland,Nanortalik,Long et al. (2012),diatoms,60.14,-45.24,-1.08,0.21,0.21,1574,90,90
Greenland,Nanortalik,Long et al. (2012),diatoms,60.14,-45.24,-0.28,0.11,0.11,1595,38,38
Greenland,Nanortalik,Long et al. (2012),diatoms,60.14,-45.24,-0.83,0.07,0.07,1599,84,84
Greenland,Nanortalik,Long et al. (2012),diatoms,60.14,-45.24,-0.54,0.12,0.12,1726,86,86
Greenland,Nanortalik,Long et al. (2012),diatoms,60.14,-45.24,-0.28,0.11,0.11,1728,85,85
Greenland,Nanortalik,Long et al. (2012),diatoms,60.14,-45.24,-0.4,0.12,0.12,1736,84,84
Greenland,Nanortalik,Long et al. (2012),diatoms,60.14,-45.24,-0.32,0.04,0.04,1741,86,86
Greenland,Nanortalik,Long et al. (2012),diatoms,60.14,-45.24,-0.29,0.11,0.11,1745,81,81
Greenland,Nanortalik,Long et al. (2012),diatoms,60.14,-45.24,0.06,0.1,0.1,1950,50,50
Greenland,Sisimiut,Long et al. (2012),diatoms,66.491,-53.607,-0.34,0.13,0.13,1328,64,64
Greenland,Sisimiut,Long et al. (2012),diatoms,66.491,-53.607,-0.29,0.16,0.16,1332,62,62
Greenland,Sisimiut,Long et al. (2012),diatoms,66.491,-53.607,-0.85,0.16,0.16,1340,52,52
Greenland,Sisimiut,Long et al. (2012),diatoms,66.491,-53.607,-0.85,0.15,0.15,1357,65,65
Greenland,Sisimiut,Long et al. (2012),diatoms,66.491,-53.607,-0.02,0.12,0.12,1510,70,70
Greenland,Sisimiut,Long et al. (2012),diatoms,66.491,-53.607,-0.39,0.18,0.18,1513,103,103
Greenland,Sisimiut,Long et al. (2012),diatoms,66.491,-53.607,-0.61,0.13,0.13,1522,112,112
Greenland,Sisimiut,Long et al. (2012),diatoms,66.491,-53.607,0,0.07,0.07,1522,112,112
Greenland,Sisimiut,Long et al. (2012),diatoms,66.491,-53.607,-0.14,0.08,0.08,1544,91,91
Greenland,Sisimiut,Long et al. (2012),diatoms,66.491,-53.607,-0.06,0.11,0.11,1544,91,91
Greenland,Sisimiut,Long et al. (2012),diatoms,66.491,-53.607,-0.24,0.08,0.08,1550,90,90
Greenland,Sisimiut,Long et al. (2012),diatoms,66.491,-53.607,-0.26,0.16,0.16,1557,88,88
Greenland,Sisimiut,Long et al. (2012),diatoms,66.491,-53.607,-0.09,0.13,0.13,1579,89,89
Greenland,Sisimiut,Long et al. (2012),diatoms,66.491,-53.607,0,0.08,0.08,1583,92,92
Greenland,Sisimiut,Long et al. (2012),diatoms,66.491,-53.607,-0.1,0.08,0.08,1720,90,90
Greenland,Sisimiut,Long et al. (2012),diatoms,66.491,-53.607,-0.03,0.13,0.13,1722,89,89
Greenland,Sisimiut,Long et al. (2012),diatoms,66.491,-53.607,-0.09,0.16,0.16,1727,87,87
Iceland,Vioarholmi,Gehrels et al. (2006a),foraminifera,64.763,-22.434,-1.64,0.2,0.2,-141,83,140
Iceland,Vioarholmi,Gehrels et al. (2006a),foraminifera,64.763,-22.434,-1.62,0.2,0.2,-119,74,118
Iceland,Vioarholmi,Gehrels et al. (2006a),foraminifera,64.763,-22.434,-1.6,0.2,0.2,-86,67,88
Iceland,Vioarholmi,Gehrels et al. (2006a),foraminifera,64.763,-22.434,-1.58,0.2,0.2,-60,62,88
Iceland,Vioarholmi,Gehrels et al. (2006a),foraminifera,64.763,-22.434,-1.56,0.2,0.2,-44,61,92
Iceland,Vioarholmi,Gehrels et al. (2006a),foraminifera,64.763,-22.434,-1.54,0.2,0.2,-28,59,93
Iceland,Vioarholmi,Gehrels et al. (2006a),foraminifera,64.763,-22.434,-1.52,0.2,0.2,-13,57,91
Iceland,Vioarholmi,Gehrels et al. (2006a),foraminifera,64.763,-22.434,-1.5,0.2,0.2,3,55,93
Iceland,Vioarholmi,Gehrels et al. (2006a),foraminifera,64.763,-22.434,-1.48,0.2,0.2,18,52,92
Iceland,Vioarholmi,Gehrels et al. (2006a),foraminifera,64.763,-22.434,-1.46,0.2,0.2,34,49,86
Iceland,Vioarholmi,Gehrels et al. (2006a),foraminifera,64.763,-22.434,-1.44,0.2,0.2,52,48,82
Iceland,Vioarholmi,Gehrels et al. (2006a),foraminifera,64.763,-22.434,-1.42,0.2,0.2,77,47,75
Iceland,Vioarholmi,Gehrels et al. (2006a),foraminifera,64.763,-22.434,-1.4,0.2,0.2,91,47,74
Iceland,Vioarholmi,Gehrels et al. (2006a),foraminifera,64.763,-22.434,-1.38,0.2,0.2,103,50,75
Iceland,Vioarholmi,Gehrels et al. (2006a),foraminifera,64.763,-22.434,-1.36,0.2,0.2,115,51,77
Iceland,Vioarholmi,Gehrels et al. (2006a),foraminifera,64.763,-22.434,-1.34,0.2,0.2,127,50,80
Iceland,Vioarholmi,Gehrels et al. (2006a),foraminifera,64.763,-22.434,-1.32,0.2,0.2,139,49,83
Iceland,Vioarholmi,Gehrels et al. (2006a),foraminifera,64.763,-22.434,-1.3,0.2,0.2,152,47,85
Iceland,Vioarholmi,Gehrels et al. (2006a),foraminifera,64.763,-22.434,-1.28,0.2,0.2,168,43,88
Iceland,Vioarholmi,Gehrels et al. (2006a),foraminifera,64.763,-22.434,-1.26,0.2,0.2,199,45,94
Iceland,Vioarholmi,Gehrels et al. (2006a),foraminifera,64.763,-22.434,-1.24,0.2,0.2,218,53,93
Iceland,Vioarholmi,Gehrels et al. (2006a),foraminifera,64.763,-22.434,-1.22,0.2,0.2,236,56,94
Iceland,Vioarholmi,Gehrels et al. (2006a),foraminifera,64.763,-22.434,-1.2,0.2,0.2,255,58,97
Iceland,Vioarholmi,Gehrels et al. (2006a),foraminifera,64.763,-22.434,-1.18,0.2,0.2,274,56,101
Iceland,Vioarholmi,Gehrels et al. (2006a),foraminifera,64.763,-22.434,-1.16,0.2,0.2,293,55,100
Iceland,Vioarholmi,Gehrels et al. (2006a),foraminifera,64.763,-22.434,-1.14,0.2,0.2,313,51,100
Iceland,Vioarholmi,Gehrels et al. (2006a),foraminifera,64.763,-22.434,-1.12,0.2,0.2,337,44,92
Iceland,Vioarholmi,Gehrels et al. (2006a),foraminifera,64.763,-22.434,-1.1,0.2,0.2,375,44,95
Iceland,Vioarholmi,Gehrels et al. (2006a),foraminifera,64.763,-22.434,-1.08,0.2,0.2,397,54,96
Iceland,Vioarholmi,Gehrels et al. (2006a),foraminifera,64.763,-22.434,-1.06,0.2,0.2,417,59,96
Iceland,Vioarholmi,Gehrels et al. (2006a),foraminifera,64.763,-22.434,-1.04,0.2,0.2,436,60,95
Iceland,Vioarholmi,Gehrels et al. (2006a),foraminifera,64.763,-22.434,-1.02,0.2,0.2,456,61,96
Iceland,Vioarholmi,Gehrels et al. (2006a),foraminifera,64.763,-22.434,-1,0.2,0.2,477,56,92
Iceland,Vioarholmi,Gehrels et al. (2006a),foraminifera,64.763,-22.434,-0.98,0.2,0.2,503,52,91
Iceland,Vioarholmi,Gehrels et al. (2006a),foraminifera,64.763,-22.434,-0.96,0.2,0.2,552,56,94
Iceland,Vioarholmi,Gehrels et al. (2006a),foraminifera,64.763,-22.434,-0.94,0.2,0.2,585,63,98
Iceland,Vioarholmi,Gehrels et al. (2006a),foraminifera,64.763,-22.434,-0.92,0.2,0.2,613,65,98
Iceland,Vioarholmi,Gehrels et al. (2006a),foraminifera,64.763,-22.434,-0.9,0.2,0.2,645,59,106
Iceland,Vioarholmi,Gehrels et al. (2006a),foraminifera,64.763,-22.434,-0.88,0.2,0.2,676,54,102
Iceland,Vioarholmi,Gehrels et al. (2006a),foraminifera,64.763,-22.434,-0.86,0.2,0.2,722,40,67
Iceland,Vioarholmi,Gehrels et al. (2006a),foraminifera,64.763,-22.434,-0.84,0.2,0.2,789,31,56
Iceland,Vioarholmi,Gehrels et al. (2006a),foraminifera,64.763,-22.434,-0.82,0.2,0.2,823,27,38
Iceland,Vioarholmi,Gehrels et al. (2006a),foraminifera,64.763,-22.434,-0.8,0.2,0.2,866,13,28
Iceland,Vioarholmi,Gehrels et al. (2006a),foraminifera,64.763,-22.434,-0.78,0.2,0.2,908,67,30
Iceland,Vioarholmi,Gehrels et al. (2006a),foraminifera,64.763,-22.434,-0.76,0.2,0.2,945,76,57
Iceland,Vioarholmi,Gehrels et al. (2006a),foraminifera,64.763,-22.434,-0.74,0.2,0.2,980,80,82
Iceland,Vioarholmi,Gehrels et al. (2006a),foraminifera,64.763,-22.434,-0.72,0.2,0.2,1012,81,100
Iceland,Vioarholmi,Gehrels et al. (2006a),foraminifera,64.763,-22.434,-0.7,0.2,0.2,1045,80,121
Iceland,Vioarholmi,Gehrels et al. (2006a),foraminifera,64.763,-22.434,-0.68,0.2,0.2,1077,70,138
Iceland,Vioarholmi,Gehrels et al. (2006a),foraminifera,64.763,-22.434,-0.66,0.2,0.2,1110,58,144
Iceland,Vioarholmi,Gehrels et al. (2006a),foraminifera,64.763,-22.434,-0.64,0.2,0.2,1142,46,140
Iceland,Vioarholmi,Gehrels et al. (2006a),foraminifera,64.763,-22.434,-0.62,0.2,0.2,1176,33,111
Iceland,Vioarholmi,Gehrels et al. (2006a),foraminifera,64.763,-22.434,-0.6,0.2,0.2,1216,10,40
Iceland,Vioarholmi,Saher et al. (2015),foraminifera,64.763,-22.434,-0.57,0.18,0.18,1567,44,43
Iceland,Vioarholmi,Saher et al. (2015),foraminifera,64.763,-22.434,-0.51,0.18,0.18,1630,32,42
Iceland,Vioarholmi,Saher et al. (2015),foraminifera,64.763,-22.434,-0.36,0.18,0.18,1666,21,19
Iceland,Vioarholmi,Saher et al. (2015),foraminifera,64.763,-22.434,-0.41,0.18,0.18,1691,16,17
Iceland,Vioarholmi,Saher et al. (2015),foraminifera,64.763,-22.434,-0.36,0.18,0.18,1710,5,6
Iceland,Vioarholmi,Saher et al. (2015),foraminifera,64.763,-22.434,-0.45,0.18,0.18,1728,10,9
Iceland,Vioarholmi,Saher et al. (2015),foraminifera,64.763,-22.434,-0.45,0.18,0.18,1738,15,13
Iceland,Vioarholmi,Saher et al. (2015),foraminifera,64.763,-22.434,-0.4,0.19,0.19,1743,15,14
Iceland,Vioarholmi,Saher et al. (2015),foraminifera,64.763,-22.434,-0.38,0.18,0.18,1757,18,18
Iceland,Vioarholmi,Saher et al. (2015),foraminifera,64.763,-22.434,-0.41,0.18,0.18,1766,19,20
Iceland,Vioarholmi,Saher et al. (2015),foraminifera,64.763,-22.434,-0.39,0.17,0.17,1771,20,20
Iceland,Vioarholmi,Saher et al. (2015),foraminifera,64.763,-22.434,-0.41,0.18,0.18,1787,22,21
Iceland,Vioarholmi,Saher et al. (2015),foraminifera,64.763,-22.434,-0.31,0.19,0.19,1809,25,22
Iceland,Vioarholmi,Saher et al. (2015),foraminifera,64.763,-22.434,-0.27,0.19,0.19,1830,26,22
Iceland,Vioarholmi,Saher et al. (2015),foraminifera,64.763,-22.434,-0.25,0.19,0.19,1834,26,23
Iceland,Vioarholmi,Saher et al. (2015),foraminifera,64.763,-22.434,-0.15,0.18,0.18,1850,28,25
Iceland,Vioarholmi,Saher et al. (2015),foraminifera,64.763,-22.434,-0.15,0.19,0.19,1859,27,26
Iceland,Vioarholmi,Saher et al. (2015),foraminifera,64.763,-22.434,-0.15,0.19,0.19,1872,24,26
Iceland,Vioarholmi,Saher et al. (2015),foraminifera,64.763,-22.434,-0.18,0.18,0.18,1890,19,23
Iceland,Vioarholmi,Saher et al. (2015),foraminifera,64.763,-22.434,-0.15,0.18,0.18,1894,19,23
Iceland,Vioarholmi,Saher et al. (2015),foraminifera,64.763,-22.434,-0.22,0.18,0.18,1915,16,18
Iceland,Vioarholmi,Saher et al. (2015),foraminifera,64.763,-22.434,-0.1,0.18,0.18,1927,13,15
Iceland,Vioarholmi,Saher et al. (2015),foraminifera,64.763,-22.434,-0.11,0.18,0.18,1935,13,15
Iceland,Vioarholmi,Saher et al. (2015),foraminifera,64.763,-22.434,-0.12,0.18,0.18,1956,6,7
Iceland,Vioarholmi,Saher et al. (2015),foraminifera,64.763,-22.434,-0.13,0.18,0.18,1963,3,2
Iceland,Vioarholmi,Saher et al. (2015),foraminifera,64.763,-22.434,-0.1,0.18,0.18,1966,3,2
Iceland,Vioarholmi,Saher et al. (2015),foraminifera,64.763,-22.434,-0.09,0.18,0.18,1967,3,2
Iceland,Vioarholmi,Saher et al. (2015),foraminifera,64.763,-22.434,-0.06,0.18,0.18,1968,3,3
Iceland,Vioarholmi,Saher et al. (2015),foraminifera,64.763,-22.434,-0.04,0.19,0.19,1970,2,3
Iceland,Vioarholmi,Saher et al. (2015),foraminifera,64.763,-22.434,-0.03,0.18,0.18,1971,3,3
Iceland,Vioarholmi,Saher et al. (2015),foraminifera,64.763,-22.434,-0.08,0.18,0.18,1973,2,2
Iceland,Vioarholmi,Saher et al. (2015),foraminifera,64.763,-22.434,-0.02,0.18,0.18,1975,2,3
Iceland,Vioarholmi,Saher et al. (2015),foraminifera,64.763,-22.434,-0.08,0.18,0.18,1976,2,3
Iceland,Vioarholmi,Saher et al. (2015),foraminifera,64.763,-22.434,0,0.18,0.18,1981,3,4
Iceland,Vioarholmi,Saher et al. (2015),foraminifera,64.763,-22.434,-0.07,0.18,0.18,1983,4,4
Iceland,Vioarholmi,Saher et al. (2015),foraminifera,64.763,-22.434,-0.06,0.18,0.18,1984,4,4
Iceland,Vioarholmi,Saher et al. (2015),foraminifera,64.763,-22.434,0.02,0.18,0.18,1988,4,4
Iceland,Vioarholmi,Saher et al. (2015),foraminifera,64.763,-22.434,0.08,0.18,0.18,1995,3,3
Iceland,Vioarholmi,Saher et al. (2015),foraminifera,64.763,-22.434,-0.01,0.18,0.18,1998,3,3
Iceland,Vioarholmi,Saher et al. (2015),foraminifera,64.763,-22.434,-0.01,0.18,0.18,2002,2,2
"Isle of Wight, UK",Newtown Estuary,Long et al. (2014),foraminifera,50.716,-1.389,-0.24,0.15,0.15,1706,16,19
"Isle of Wight, UK",Newtown Estuary,Long et al. (2014),foraminifera,50.716,-1.389,-0.22,0.15,0.15,1727,27,23
"Isle of Wight, UK",Newtown Estuary,Long et al. (2014),foraminifera,50.716,-1.389,-0.2,0.15,0.15,1747,30,25
"Isle of Wight, UK",Newtown Estuary,Long et al. (2014),foraminifera,50.716,-1.389,-0.18,0.15,0.15,1767,30,25
"Isle of Wight, UK",Newtown Estuary,Long et al. (2014),foraminifera,50.716,-1.389,-0.16,0.15,0.15,1787,26,29
"Isle of Wight, UK",Newtown Estuary,Long et al. (2014),foraminifera,50.716,-1.389,-0.14,0.15,0.15,1808,31,29
"Isle of Wight, UK",Newtown Estuary,Long et al. (2014),foraminifera,50.716,-1.389,-0.12,0.15,0.15,1831,26,29
"Isle of Wight, UK",Newtown Estuary,Long et al. (2014),foraminifera,50.716,-1.389,-0.1,0.15,0.15,1860,18,27
"Isle of Wight, UK",Newtown Estuary,Long et al. (2014),foraminifera,50.716,-1.389,-0.08,0.15,0.15,1896,11,14
"Isle of Wight, UK",Newtown Estuary,Long et al. (2014),foraminifera,50.716,-1.389,-0.07,0.15,0.15,1910,10,5
"Isle of Wight, UK",Newtown Estuary,Long et al. (2014),foraminifera,50.716,-1.389,-0.06,0.15,0.15,1923,10,5
"Isle of Wight, UK",Newtown Estuary,Long et al. (2014),foraminifera,50.716,-1.389,-0.05,0.15,0.15,1934,10,5
"Isle of Wight, UK",Newtown Estuary,Long et al. (2014),foraminifera,50.716,-1.389,-0.04,0.15,0.15,1944,5,5
"Isle of Wight, UK",Newtown Estuary,Long et al. (2014),foraminifera,50.716,-1.389,-0.03,0.15,0.15,1952,0,5
"Isle of Wight, UK",Newtown Estuary,Long et al. (2014),foraminifera,50.716,-1.389,-0.02,0.15,0.15,1958,5,0
"Isle of Wight, UK",Newtown Estuary,Long et al. (2014),foraminifera,50.716,-1.389,-0.01,0.15,0.15,1964,0,5
"Isle of Wight, UK",Newtown Estuary,Long et al. (2014),foraminifera,50.716,-1.389,0.01,0.15,0.15,1969,5,0
"Isle of Wight, UK",Newtown Estuary,Long et al. (2014),foraminifera,50.716,-1.389,0.02,0.15,0.15,1975,3,3
"Isle of Wight, UK",Newtown Estuary,Long et al. (2014),foraminifera,50.716,-1.389,0.03,0.15,0.15,1980,1,1
"Isle of Wight, UK",Newtown Estuary,Long et al. (2014),foraminifera,50.716,-1.389,0.04,0.15,0.15,1987,5,1
"Isle of Wight, UK",Newtown Estuary,Long et al. (2014),foraminifera,50.716,-1.389,0.05,0.15,0.15,1995,5,5
"Isle of Wight, UK",Newtown Estuary,Long et al. (2014),foraminifera,50.716,-1.389,0.06,0.15,0.15,1998,1,1
"Isle of Wight, UK",Newtown Estuary,Long et al. (2014),foraminifera,50.716,-1.389,0.07,0.15,0.15,2011,1,1
"Isle of Wight, UK",Hythe Marshes,Long et al. (2000),plants,50.87,-1.4,-0.69,0.11,0.11,715,106,106
"Isle of Wight, UK",Stansore Point,Long and Tooley (1995),plants,50.78,-1.34,-1.68,0.11,0.11,-517,185,185
"Isle of Wight, UK",Stansore Point,Long and Tooley (1995),plants,50.78,-1.34,-2.04,0.11,0.11,-412,299,299
Israel,Casesarea,Sivan et al. (2004),archaeological evidence,32.52,34.91,-0.24,0.09,0.09,-10,10,10
Israel,Casesarea,Sivan et al. (2004),archaeological evidence,32.52,34.91,-0.06,0.07,0.07,50,50,50
Israel,Casesarea,Sivan et al. (2004),archaeological evidence,32.52,34.91,-0.06,0.07,0.07,50,50,50
Israel,Casesarea,Sivan et al. (2004),archaeological evidence,32.52,34.91,-0.01,0.07,0.07,50,50,50
Israel,Casesarea,Sivan et al. (2004),archaeological evidence,32.52,34.91,0.04,0.07,0.07,300,100,100
Israel,Casesarea,Sivan et al. (2004),archaeological evidence,32.52,34.91,0.24,0.07,0.07,350,50,50
Israel,Casesarea,Sivan et al. (2004),archaeological evidence,32.52,34.91,-0.16,0.07,0.07,400,100,100
Israel,Casesarea,Sivan et al. (2004),archaeological evidence,32.52,34.91,0.39,0.07,0.07,450,150,150
Israel,Casesarea,Sivan et al. (2004),archaeological evidence,32.52,34.91,0.29,0.07,0.07,450,150,150
Israel,Casesarea,Sivan et al. (2004),archaeological evidence,32.52,34.91,0.23,0.07,0.07,450,150,150
Israel,Casesarea,Sivan et al. (2004),archaeological evidence,32.52,34.91,-0.13,0.07,0.07,450,150,150
Israel,Casesarea,Sivan et al. (2004),archaeological evidence,32.52,34.91,-0.07,0.07,0.07,450,150,150
Israel,Casesarea,Sivan et al. (2004),archaeological evidence,32.52,34.91,-0.16,0.07,0.07,500,100,100
Israel,Casesarea,Sivan et al. (2004),archaeological evidence,32.52,34.91,-0.06,0.07,0.07,550,50,50
Israel,Casesarea,Sivan et al. (2004),archaeological evidence,32.52,34.91,0.27,0.07,0.07,550,50,50
Israel,Casesarea,Sivan et al. (2004),archaeological evidence,32.52,34.91,0.04,0.07,0.07,550,150,150
Israel,Casesarea,Sivan et al. (2004),archaeological evidence,32.52,34.91,0.08,0.07,0.07,550,150,150
Israel,Casesarea,Sivan et al. (2004),archaeological evidence,32.52,34.91,0.07,0.07,0.07,550,150,150
Israel,Casesarea,Sivan et al. (2004),archaeological evidence,32.52,34.91,0.05,0.07,0.07,550,150,150
Israel,Casesarea,Sivan et al. (2004),archaeological evidence,32.52,34.91,0.09,0.07,0.07,550,150,150
Israel,Casesarea,Sivan et al. (2004),archaeological evidence,32.52,34.91,-0.06,0.07,0.07,600,100,100
Israel,Casesarea,Sivan et al. (2004),archaeological evidence,32.52,34.91,-0.08,0.07,0.07,600,100,100
Israel,Casesarea,Sivan et al. (2004),archaeological evidence,32.52,34.91,-0.02,0.07,0.07,695,55,55
Israel,Casesarea,Sivan et al. (2004),archaeological evidence,32.52,34.91,0.14,0.07,0.07,695,55,55
Israel,Casesarea,Sivan et al. (2004),archaeological evidence,32.52,34.91,-0.16,0.07,0.07,855,105,105
Israel,Casesarea,Sivan et al. (2004),archaeological evidence,32.52,34.91,-0.13,0.07,0.07,855,105,105
Israel,Casesarea,Sivan et al. (2004),archaeological evidence,32.52,34.91,-0.14,0.07,0.07,855,105,105
Israel,Casesarea,Sivan et al. (2004),archaeological evidence,32.52,34.91,-0.15,0.07,0.07,855,105,105
Israel,Casesarea,Sivan et al. (2004),archaeological evidence,32.52,34.91,-0.07,0.07,0.07,855,105,105
Israel,Casesarea,Sivan et al. (2004),archaeological evidence,32.52,34.91,-0.15,0.07,0.07,855,105,105
Israel,Casesarea,Sivan et al. (2004),archaeological evidence,32.52,34.91,-0.17,0.07,0.07,855,105,105
Israel,Casesarea,Sivan et al. (2004),archaeological evidence,32.52,34.91,-0.13,0.07,0.07,855,105,105
